Fragrance,MAS,14.2,mai,スタンダード
Garakuta Doll Play,MAS,14.2,mai,スタンダード
HERA,MAS,14.2,mai,スタンダード
Lividi,MAS,14.0,mai,スタンダード
Moon of Noon,MAS,14.4,mai,スタンダード
MYTHOS,MAS,14.1,mai,スタンダード
Oshama Scramble!,MAS,14.5,mai,スタンダード
Panopticon,MAS,14.1,mai,スタンダード
Prophesy One,MAS,14.5,mai,スタンダード
System “Z”,MAS,14.3,mai,スタンダード
VERTeX,MAS,14.4,mai,スタンダード
ガラテアの螺旋,MAS,14.6,mai,スタンダード
ジングルベル,MAS,14.0,mai,スタンダード
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,MAS,14.5,mai,スタンダード
花と、雪と、ドラムンベース。,MAS,14.3,mai,スタンダード
雷切-RAIKIRI-,MAS,14.6,mai,スタンダード
TiamaT：F minor,MAS,14.6,ゲ&チ,スタンダード
World Vanquisher,MAS,14.3,ゲ&チ,スタンダード
Xevel,MAS,14.1,ゲ&チ,スタンダード
エンドマークに希望と涙を添えて,MAS,14.3,ゲ&チ,スタンダード
インビジブル,Re:M,13.7,nico,スタンダード
カゲロウデイズ,Re:M,13.9,nico,スタンダード
立ち入り禁止,Re:M,13.7,nico,スタンダード
CYBER Sparks,Re:M,13.7,東方,スタンダード
最終鬼畜妹フランドール・S,Re:M,13.7,東方,スタンダード
緋色のDance,Re:M,13.7,東方,スタンダード
Burning Hearts ～炎のANGEL～,Re:M,13.7,バラ,スタンダード
Crush On You,Re:M,None,バラ,スタンダード
Sun Dance,Re:M,None,バラ,スタンダード
花と、雪と、ドラムンベース。,Re:M,13.8,mai,スタンダード
ギリギリ最強あいまいみー！,MAS,13.7,P&ア,スタンダード
magician's operation,MAS,13.7,nico,スタンダード
裏表ラバーズ,MAS,13.7,nico,スタンダード
幸せになれる隠しコマンドがあるらしい,MAS,13.9,nico,スタンダード
デッドレッドガールズ,MAS,13.7,nico,スタンダード
どうしてこうなった,MAS,13.7,nico,スタンダード
ドーナツホール,MAS,13.7,nico,スタンダード
脳漿炸裂ガール,MAS,13.9,nico,スタンダード
初音ミクの消失,MAS,13.9,nico,スタンダード
吉原ラメント,MAS,13.7,nico,スタンダード
ワンダーラスト,MAS,13.8,nico,スタンダード
Doll Judgment,MAS,13.7,東方,スタンダード
Imperishable Night 2006 (2016 Refine),MAS,13.8,東方,スタンダード
Scream out! -maimai SONIC WASHER Edit-,MAS,13.9,東方,スタンダード
アマノジャクリバース feat. ｙｔｒ,MAS,13.8,東方,スタンダード
オーディエンスを沸かす程度の能力 feat.タイツォン,MAS,13.7,東方,スタンダード
幻想のサテライト,MAS,13.9,東方,スタンダード
最終鬼畜妹・一部声,MAS,13.8,東方,スタンダード
ネクロファンタジア～Arr.Demetori,MAS,13.7,東方,スタンダード
もうみんなしねばいいのに,MAS,13.9,東方,スタンダード
B.B.K.K.B.K.K.,MAS,13.9,バラ,スタンダード
DRAGONLADY,MAS,13.9,バラ,スタンダード
ENERGY SYNERGY MATRIX,MAS,13.8,バラ,スタンダード
FLOWER,MAS,13.8,バラ,スタンダード
FREEDOM DiVE (tpz Overcute Remix),MAS,13.9,バラ,スタンダード
GO BACK 2 YOUR RAVE,MAS,13.9,バラ,スタンダード
"Good Bye, Mr. Jack",MAS,13.8,バラ,スタンダード
Got more raves？,MAS,13.9,バラ,スタンダード
Jack-the-Ripper◆,MAS,13.9,バラ,スタンダード
Like the Wind ［Reborn］,MAS,13.8,バラ,スタンダード
Maxi,MAS,13.8,バラ,スタンダード
METATRON,MAS,13.9,バラ,スタンダード
MilK,MAS,13.8,バラ,スタンダード
Outlaw's Lullaby,MAS,13.9,バラ,スタンダード
Party 4U ”holy nite mix”,MAS,13.7,バラ,スタンダード
Sakura Fubuki,MAS,13.8,バラ,スタンダード
Scars of FAUNA,MAS,13.8,バラ,スタンダード
ULTRA B＋K,MAS,13.8,バラ,スタンダード
セイクリッド　ルイン,MAS,13.8,バラ,スタンダード
電車で電車でOPA!OPA!OPA! -GMT mashup-,MAS,13.7,バラ,スタンダード
人里に下ったアタイがいつの間にか社畜になっていた件,MAS,13.9,バラ,スタンダード
魔法少女になるしかねぇ,MAS,13.9,バラ,スタンダード
夜明けまであと３秒,MAS,13.9,バラ,スタンダード
Beat of getting entangled,MAS,13.7,mai,スタンダード
D✪N’T ST✪P R✪CKIN’,MAS,None,mai,スタンダード
GEMINI -M-,MAS,13.8,mai,スタンダード
Hyper Active,MAS,13.8,mai,スタンダード
Jumble Rumble,MAS,13.9,mai,スタンダード
Justified,MAS,13.8,mai,スタンダード
keep hopping,MAS,13.9,mai,スタンダード
KING is BACK!!,MAS,None,mai,スタンダード
L'épilogue,MAS,13.7,mai,スタンダード
Life Feels Good,MAS,None,mai,スタンダード
Mare Maris,MAS,13.8,mai,スタンダード
Nerverakes,MAS,13.8,mai,スタンダード
Nitrous Fury,MAS,13.9,mai,スタンダード
Ragnarok,MAS,13.9,mai,スタンダード
Schwarzschild,MAS,13.9,mai,スタンダード
Selector,MAS,13.7,mai,スタンダード
Ultranova,MAS,None,mai,スタンダード
天火明命,MAS,13.9,mai,スタンダード
火炎地獄,MAS,13.8,mai,スタンダード
四月の雨,MAS,13.9,mai,スタンダード
スリップフリップ,MAS,None,mai,スタンダード
夢花火,MAS,13.7,mai,スタンダード
分からない,MAS,None,mai,スタンダード
My First Phone,MAS,13.8,ゲ&チ,スタンダード
The wheel to the right,MAS,13.8,ゲ&チ,スタンダード
We Gonna Journey,MAS,13.8,ゲ&チ,スタンダード
閃鋼のブリューナク,MAS,13.8,ゲ&チ,スタンダード
奏者はただ背中と提琴で語るのみ,MAS,13.8,ゲ&チ,スタンダード
PANDORA PARADOXXX,EXP,13.7,mai,スタンダード
